time,value
2024-02-23T16:11:23.210409173Z,209
2024-02-23T16:11:34.041247538Z,209
2024-02-23T16:11:44.882306998Z,209
2024-02-23T16:11:55.714951427Z,210
2024-02-23T16:12:06.555746478Z,209
2024-02-23T16:12:17.389968653Z,209
2024-02-23T16:12:28.218673085Z,210
2024-02-23T16:12:39.06318628Z,211
2024-02-23T16:12:49.893780287Z,211
2024-02-23T16:13:00.723824956Z,212
2024-02-23T16:13:11.574372887Z,212
2024-02-23T16:13:22.410135085Z,212
2024-02-23T16:13:33.240606779Z,212
2024-02-23T16:13:44.084215588Z,212
2024-02-23T16:13:54.912925253Z,212
2024-02-23T16:14:05.745348759Z,212
2024-02-23T16:14:16.593846725Z,212
2024-02-23T16:14:27.423762661Z,213
2024-02-23T16:14:38.263431248Z,214
2024-02-23T16:14:49.100847244Z,215
2024-02-23T16:14:59.934883391Z,215
2024-02-23T16:15:10.776877889Z,215
2024-02-23T16:15:21.610986265Z,215
2024-02-23T16:15:32.447138402Z,216
2024-02-23T16:15:43.300286585Z,216
2024-02-23T16:15:54.123422235Z,216
2024-02-23T16:16:04.959776268Z,217
2024-02-23T16:16:15.795064781Z,217
2024-02-23T16:16:26.623304951Z,217
2024-02-23T16:16:37.46109009Z,218
2024-02-23T16:16:48.314720401Z,218
2024-02-23T16:16:59.159980513Z,219
2024-02-23T16:17:09.983912671Z,219
2024-02-23T16:17:20.8472163Z,219
2024-02-23T16:17:31.659584775Z,219
2024-02-23T16:17:42.500693863Z,219
2024-02-23T16:17:53.330997223Z,219
2024-02-23T16:18:04.161783265Z,218
2024-02-23T16:18:15.008931137Z,218
2024-02-23T16:18:25.839682502Z,218
2024-02-23T16:18:36.667530127Z,218
2024-02-23T16:18:47.518558376Z,218
2024-02-23T16:18:58.358244306Z,219
2024-02-23T16:19:09.185374214Z,219
2024-02-23T16:19:20.037306432Z,219
2024-02-23T16:19:30.86533975Z,219
2024-02-23T16:19:41.702529687Z,220
2024-02-23T16:19:52.539945767Z,220
2024-02-23T16:20:03.360862408Z,220
2024-02-23T16:20:14.212439867Z,221
2024-02-23T16:20:25.05025406Z,220
2024-02-23T16:20:35.878940759Z,220
2024-02-23T16:20:46.718082483Z,220
2024-02-23T16:20:57.549841151Z,220
2024-02-23T16:21:08.386614484Z,220
2024-02-23T16:21:19.233044269Z,220
2024-02-23T16:21:30.077537741Z,219
2024-02-23T16:21:40.894204263Z,219
2024-02-23T16:21:51.74148718Z,219
2024-02-23T16:22:02.57618374Z,220
